42.3631 -71.065, all phase plumbing
61.3981 -149.843, sturdevant & assoc
61.5971 -149.453, su valley landclearing
61.5862 -149.635, sub zero thawing
61.5811 -149.45, suburban propane
61.5831 -149.638, subway sandwiches & salads
61.5729 -149.39, subway sandwiches & salads
61.6141 -149.457, subzero one land clearing
61.5531 -149.651, summitt appraisal
61.6141 -149.457, sumner construction
61.5811 -149.443, sumner electrical enterprise
61.5811 -149.444, sunny knik chapel
61.5705 -149.434, sunridge apartments
61.6141 -149.457, sunrise manor
61.5271 -149.654, sunset mill
61.5284 -149.622, sunset mobile welding
61.6531 -149.589, sunset upholstery
61.5691 -149.328, super saver classifieds
61.5894 -149.45, superior muffler & welding
61.5631 -149.424, superior transport
61.6521 -149.92, susitna air svc inc
61.6141 -149.457, susitna designs
61.6521 -149.92, susitna dog tours b & b
61.5825 -149.429, susitna family svc
61.3981 -149.843, susitna girl scouts camp
61.6521 -149.92, susitna landing boat launch
61.5858 -149.348, susitna mechanical
61.7321 -150.12, susitna music
61.5895 -149.406, susitna professional pharmacy
57.5401 -153.978, larsen bay lodge
57.5401 -153.978, larsen bay mercantile
57.5401 -153.978, larsen bay school
57.5401 -153.978, larsen bay tribal council
57.5401 -153.978, uyak bay lodge
57.5401 -153.978, village public safety officer
63.3501 -143.242, fred john senior health clinic
63.5251 -142.205, mentasta dog musher's assn
63.3501 -143.242, mentasta head start
63.3501 -143.242, mentasta lake school
63.1151 -143.301, mentasta tribal council
55.9991 -161.207, kenai float plane svc
55.2541 -162.289, nelson lagoon clinic
56.0007 -161.204, nelson lagoon safety officer
51.8671 -176.651, nelson lagoon school
55.2541 -162.289, nelson lagoon tribal council
55.2541 -162.289, nelson lagoon village council
69.2891 -162.435, a j's video store
69.741 -163.013, arctic slope telephone assn
69.7481 -163.011, cape smythe air svc
69.7441 -163.013, cully high school-comm library
69.7441 -163.013, cully school
69.2891 -162.435, first bible baptist church
69.7424 -163.016, inupiat community-the arctic
69.2891 -162.435, north slope cnty public safety
69.2891 -162.435, north slope cnty sfty emrgncy
69.2891 -162.435, north slope cnty tlcnfrnc ctr
69.2891 -162.435, north slope cnty usdw shop
69.2891 -162.435, north slope county fire dept
69.2891 -162.435, north slope county fuel farm
69.2891 -162.435, north slope county health clnc
69.2891 -162.435, north slope county o & m shop
69.2891 -162.435, north slope county power plant
69.2891 -162.435, north slope county usdw ofc
69.2891 -162.435, north slope county vlg crdntr
61.1955 -149.876, james haven art gallery
61.1811 -149.89, james j hanlon law office
61.2203 -149.896, james l hopper law office
61.2173 -149.904, james mc collum law office
61.1718 -149.881, james p sheldon co inc
61.2193 -149.902, james r szender law office
61.1901 -149.892, james spernak memorial hockey
61.1901 -149.911, dennis p james
61.2239 -149.807, jamicos pizzaria restaurant
61.2198 -149.902, jamin ebell schmitt & mason
61.1783 -149.916, jan's distributing inc
61.1546 -149.882, jane oakley & assoc
61.1101 -149.857, janes brothers inc
61.2154 -149.905, janet d platt law office
61.2188 -149.896, janet l bolvin law offices
61.1901 -149.892, jannahlivingspaces.com
61.2252 -149.854, janssen contracting inc
61.1771 -149.97, japan airlines
61.2138 -149.883, kenneth o jarvi
61.1903 -149.889, jason's international hostel
61.2174 -149.9, jass alley
61.2188 -149.894, java joan's
61.2178 -149.845, java junky
61.2238 -149.734, java king
61.166 -149.868, java king
61.1588 -149.835, java king espresso
61.1409 -149.951, java the hut
61.1893 -149.887, jay moffet travel svc
61.1681 -149.835, jay's enterprises
61.1406 -149.838, jay's southside tae kwon do
61.2095 -149.761, jay's tae kwon do & hapkido
61.1045 -149.859, jazzercise
61.2235 -149.781, jbc alaska
61.1901 -149.892, jbms inc
61.2191 -149.888, jbr transportation group inc
61.5841 -149.44, tgi funding co
61.5841 -149.44, tundra tanning & taxidermy
61.5841 -149.44, u s cycle
61.5571 -149.804, valley open bible fellowship
61.5841 -149.44, valley residential fence
61.5841 -149.44, valley upholstery
61.5771 -149.711, valley vacu-maid
61.5531 -149.817, watters aircraft repair
61.5841 -149.44, wild alaska fisheries inc
61.5481 -149.819, wings of color inc
61.5841 -149.44, wolf's distributing
61.5841 -149.44, yost heating svc
61.5841 -149.44, yukon sourdough roadhouse
60.9301 -161.163, michael ryckmon
60.9301 -161.163, bethel power plant
60.9301 -161.163, river view videos & sales
60.9301 -161.163, delta express
60.9301 -161.163, j & t services
60.9301 -161.163, bison constructors
60.9301 -161.163, obrien construction
60.9301 -161.163, harry faulkner jr
60.9301 -161.163, salzbrun services & drilling
60.9301 -161.163, tundra drum
60.9301 -161.163, delta discovery
60.9301 -161.163, invitations etc
60.7841 -161.827, hanger one air inc
60.9301 -161.163, western heating supply llc
60.9301 -161.163, western alaska mech & maint
60.9301 -161.163, tolson electric
60.9301 -161.163, jeffwood construction inc
60.9301 -161.163, burke casey
60.7991 -161.775, kusko drywall & services
60.9301 -161.163, fix it
60.9301 -161.163, t & h leveling
60.9301 -161.163, bobs custom marine
61.5841 -149.44, b & d lambs construction inc
61.5841 -149.44, reeves equipment & parts
61.5841 -149.44, poirot ent
59.2571 -135.552, klukwan assembly of god church
59.2571 -135.552, klukwan family svc
59.2381 -135.474, klukwan inc
59.2571 -135.552, klukwan school
59.2361 -135.448, lab flying svc
59.2284 -135.44, leo smith logging co
59.2351 -135.442, lighthouse
59.2571 -135.552, loomis litho
59.2361 -135.464, lutak lumber
59.2571 -135.552, lynn canal conservation
59.2571 -135.552, lynn canal counseling svc
59.241 -135.441, lynn canal mental health
59.2571 -135.552, lynn fjord tours
59.2221 -135.441, m m supply
59.2571 -135.552, machine works
59.2571 -135.552, magistrates office
59.2331 -135.469, maintenance service
59.2571 -135.552, mama bear's fudge factory
59.2361 -135.47, mannatech health products
59.2571 -135.552, mc laughlin & haines
59.2361 -135.447, miles furniture showroom
59.2571 -135.552, moms child care
59.2571 -135.552, moose valley mercantile
59.2361 -135.47, mosquito lake elementary schl
59.2348 -135.445, mountain flying svc
59.2571 -135.552, mountain market
59.2302 -135.443, mountain view motel
59.2571 -135.552, natural resources dept
59.2571 -135.552, northern sales
59.2362 -135.449, northern sales inc
59.2571 -135.552, northern se regional assn
59.2369 -135.471, northland services
59.2411 -135.439, on the beach inn b & b
59.2279 -135.438, orca arts & crafts
59.2571 -135.552, out of bounds adventure
59.2361 -135.47, outfitter liquor store
59.2361 -135.47, outfitter sporting goods
59.2571 -135.552, paddle this
59.2571 -135.552, parks & recreation dept
59.237 -135.446, parts place
59.2571 -135.552, phantom productions
62.5831 -164.789, nunam iqua police department
62.5831 -164.789, nunam iqua trading post
62.5831 -164.789, sheldon point city office
62.5831 -164.789, sheldon point school
62.5831 -164.789, st peters catholic church
62.5831 -164.789, swan lake corp
62.5831 -164.789, us post office
62.5831 -164.789, washeteria attendent office
64.5241 -149.068, a frame svc
64.6861 -157.595, alaska national guard
64.5641 -149.089, alaska railroad corp
64.7181 -158.096, andrew k demoski school
64.5241 -149.068, assembly of god church
64.6861 -157.595, city vpso
64.5641 -149.078, clinic nenana native
64.5581 -149.096, coghill's store
64.5401 -149.091, cyberlynx correspondence
64.5241 -149.068, denali view lodge-nenana
63.0021 -154.388, edzeno nikolai village council
64.5241 -149.068, fireweed roadhouse
64.5636 -149.092, fredna's towing & salvage
64.7091 -148.626, golden valley electric assn
64.6861 -157.595, h & h enterprises
64.5581 -149.096, hair we are
64.5401 -149.091, highway dept
63.0021 -154.388, iditarod area school district
64.5647 -149.078, inland barge svc
64.5581 -149.096, kasee kaf
64.5612 -149.089, ketzler oogalik's edna
64.5636 -149.089, kiam
64.6861 -157.595, louden tribal council inc
64.5581 -149.096, magistrates office
64.5241 -149.068, monderosa bar
64.5631 -149.095, moochers bar
64.6861 -157.595, mountain's general store
64.5626 -149.091, nenana city clerk
64.5621 -149.091, nenana city mayor
64.5611 -149.094, nenana city public library
64.5401 -149.091, nenana city public schools
61.5794 -149.493, susitna rose inc
61.5861 -149.303, susitna speedway go kart
61.5698 -149.36, sylvan learning ctr
61.5698 -149.36, sylvia's quilt depot
61.6141 -149.457, synergy builders
61.5811 -149.45, t & j redi mix
61.5514 -149.543, t j electric
61.5737 -149.389, t j electric
61.5765 -149.407, taco bell
61.5765 -149.407, talk of the town styling salon
61.6221 -149.655, tamsher construction inc
61.6087 -149.451, tanaina elementary school
61.5743 -149.405, tanning hut
61.5691 -149.328, taylored restoration
61.5701 -149.497, tcb & assoc
61.579 -149.447, team cc
61.6154 -149.403, techni-clean
61.6141 -149.457, teeling enterprises
61.5835 -149.441, telalaska net works iti
61.5489 -149.587, terry's auto shop
61.5818 -149.441, tesoro
61.5811 -149.45, tesoro
61.6141 -149.457, this data
61.5847 -149.323, thomas chiropractic clinic
61.5802 -149.442, three river fly & tackle
61.5812 -149.448, ti-le-an management inc
61.5531 -149.651, tidy tabitha's
61.5531 -149.651, timberwolf flooring
61.6141 -149.457, timco enterprises
61.6941 -150.033, tippecanoe
61.5801 -149.438, tko pharmacy
61.5801 -149.461, tlc trucking
61.6141 -149.457, to & fro shuttle svc
61.5779 -149.412, tobacco express
61.5814 -149.47, tokyo japanese restaurant
69.2891 -162.435, north slope county washateria
69.2891 -162.435, point lay native store
61.2138 -149.87, jbs fashions
61.1901 -149.892, jbs roofing inc
61.1546 -149.811, jds svc
61.1884 -149.898, paul jeal
61.1541 -149.958, jeanette matthews accounting
61.1655 -149.889, jeanie greene productions
61.129 -149.863, jeanie's janitorial svc
61.1393 -149.951, jeans coffee beans
61.193 -149.781, jedi electric co
61.1541 -149.958, jeff logan & assoc
61.1491 -149.893, jeffco grounds maintenance
61.1521 -149.922, jehovah's witnesses
61.177 -149.834, jehovah's witnesses
61.1955 -149.911, jems real estate
61.1681 -149.835, jenkins & assoc
61.1668 -149.897, jennings paint & body shop
61.1824 -149.869, jenny's alterations
61.2131 -149.777, jeno's construction
61.1955 -149.911, jenro world discount
61.1883 -149.896, jens' restaurant
61.1835 -149.839, loren jensen md
61.2164 -149.902, jerald m reichlin law offices
61.225 -149.798, jeremy's
61.2031 -149.749, jericho janitorial
61.1934 -149.884, jermain dunnagan & owens
61.1491 -149.809, jerome dubose corp
61.1201 -149.89, jerry & margaret ward realty
61.2304 -149.876, jerry felton & assoc
61.1947 -149.785, jerry kemnitz autobody
61.154 -149.819, jerry's auto svc
61.1571 -149.883, jerry's international donuts
61.1641 -149.881, jerry's place
61.1718 -149.879, jerstrom engineering
61.2078 -149.767, jesse's tacos
61.2077 -149.827, jesuit fathers
61.5841 -149.44, mike butcher construction
61.5841 -149.44, genesis earthworks & hauling
61.5841 -149.44, land & lake pile driving
61.5841 -149.44, residential plumbing & heating
61.5841 -149.44, big lake cnstr stl erectors
61.5841 -149.44, haggard enterprises
61.5841 -149.44, big lk-susitna veterinary hosp
61.5841 -149.44, duck inn kennels
61.5841 -149.44, happy trails kennels
61.5841 -149.44, dirt company the
61.5841 -149.44, arctic insulation & mfg llc
61.5841 -149.44, fire art by griz inc
61.5841 -149.44, mountain glass & mirror works
61.5841 -149.44, eic excavating
61.5841 -149.44, broad way
61.5841 -149.44, mc ghans big lake storage
61.5841 -149.44, able mechanical
61.5841 -149.44, phils mechanical
61.5841 -149.44, pauls mechanical construction
61.5841 -149.44, a painting co
61.5841 -149.44, electric fire & casualty
61.5841 -149.44, electric doctor inc
61.5841 -149.44, sumner electricl enterprises
61.5841 -149.44, precision airpaint inc
61.5841 -149.44, alaska pinecraft inc
61.5841 -149.44, joe gielarowski drilling
61.5841 -149.44, heirloom wood crafters
61.5841 -149.44, silvas services
61.5841 -149.44, big lake supply llc
61.5841 -149.44, airframes inc
61.5841 -149.44, keepsakes by bethel
61.5841 -149.44, spenard builders supply inc
70.6301 -155.698, cut n strut grooming
59.2571 -135.552, pioneer bar
59.2361 -135.47, porcupine pampered pet kennels
59.2261 -135.441, port chilkoot bible church
59.2286 -135.444, port chilkoot co
59.2341 -135.443, presbyterian church
59.2571 -135.552, professional development co
59.2571 -135.552, project engineer
59.2571 -135.552, public safety dept
59.2571 -135.552, rainbow glacier adventures
59.2571 -135.552, reach community svc
59.2571 -135.552, reach inc
59.2571 -135.552, reach infant learning program
59.2361 -135.444, gregg c richmond cpa
59.2361 -135.464, river adventures dock
59.2571 -135.552, roc's workshop & supply
59.2311 -135.446, roy's ramblings
59.2368 -135.461, ruralcap head start regional
59.2571 -135.552, s & s heating plumbing & elec
59.2571 -135.552, s & w corp
59.2367 -135.447, sacred heart catholic church
59.2571 -135.552, salmon run rv campground
59.2384 -135.45, salvation army
59.2404 -135.459, sam's snow removal & equip
59.24 -135.459, saw shop
59.2377 -135.447, seams like yesterday
59.2341 -135.444, search medical clinic
59.2571 -135.552, searhc health clinic/fmly svc
59.2571 -135.552, jane sebens
59.2352 -135.443, sheldon museum & cultural ctr
59.2571 -135.552, siberian express ltd
59.2571 -135.552, silver cloud inn
59.2355 -135.446, simpson tillinghast & sorensen
59.2351 -135.446, skagway air svc
59.2355 -135.446, patrick smalley dds
59.2281 -135.438, sockeye cycle
59.2355 -135.465, southeast alaska state fair
59.2361 -135.47, southeast road builders
59.2571 -135.552, southeast roadbuilders inc
59.2361 -135.47, spice of life
59.2571 -135.552, stanford masonry & carpentry
59.2356 -135.446, state troopers
64.5401 -149.091, nenana city school district
64.5401 -149.091, nenana emergency planning comm
64.5241 -149.068, nenana heating svc
64.5581 -149.096, nenana ice classic
64.5627 -149.095, nenana messenger
64.5611 -149.092, nenana municipal utility
64.5401 -149.091, nenana native council
64.5401 -149.091, nenana police dept
64.5631 -149.095, nenana police svc
64.5611 -149.094, nenana public safety dept
64.5626 -149.094, nenana radio club
64.5611 -149.094, nenana seniors ctr
64.5621 -149.091, nenana valley sports assn
63.0021 -154.388, nikolai city office
64.5241 -149.068, north nenana lumber inc
64.5241 -149.068, northern sky lodge
64.5241 -149.068, northwoods enterprises
64.6861 -157.595, nulato city council
64.6861 -157.595, nulato city mayor
64.6861 -157.595, nulato counseling ctr
64.6861 -157.595, nulato fuel depot
64.6861 -157.595, nulato head start
64.7291 -158.111, nulato health clinic
64.6861 -157.595, nulato tribal family youth
64.6861 -157.595, nulato village council
64.6861 -157.595, nulato vsw laundromat
64.5241 -149.068, parks highway svc & towing
64.5621 -149.091, railbelt mental health
64.5636 -149.091, river city taxi
64.5581 -149.096, rough woods inn
64.5201 -149.068, shields' welding
64.5611 -149.092, st theresa's catholic church
64.5241 -149.068, toghotthele corp
64.5621 -149.096, two choice cafe
64.5401 -149.091, united builders
64.6861 -157.595, victors store
64.5241 -149.068, woodland farms
64.5241 -149.068, workshop acres
64.5641 -149.084, yukon fuel co
61.6181 -149.277, toller's timbers b & b
61.6141 -149.457, tom's dvd land
61.6191 -149.628, tom's garage
61.662 -149.312, tomahawk drywall
61.6141 -149.457, top coat sealing
61.5811 -149.45, top dog drive in
61.6141 -149.457, top gun painting
61.5811 -149.45, top gun taxidermy
61.5861 -149.303, top of the world auto body
61.5811 -149.45, tops club inc
61.5856 -149.336, town & country home furnishing
61.5861 -149.303, town & country home furnishing
61.5812 -149.436, town square art gallery inc
61.6521 -149.92, townsite food mart inc
61.6521 -149.92, townsite liquor & video rental
61.5691 -149.427, toy automotive
61.5812 -149.448, tracy & assoc
61.5698 -149.36, traffic jamz
61.5605 -149.481, trail master llc
61.5421 -149.557, trailside log cabins
61.5895 -149.537, training development co inc
61.5841 -149.45, trans-connection parts warehse
61.585 -149.464, transitional living ctr
61.5737 -149.39, transmission center
61.6521 -149.92, trapline realty
61.5765 -149.407, travel solutions
61.5848 -149.445, treasure loft
61.5792 -149.497, treeforms of alaska amish furn
61.5721 -149.404, tri valley vending
61.7321 -150.12, trimmer aviation
61.5797 -149.448, trinity homes & investments
61.5531 -149.651, triple a builders
61.5531 -149.651, triple i courier svc
61.5779 -149.412, troy davis homes inc
61.5858 -149.348, trus joist corp
61.1212 -149.748, jesuit residence
61.1201 -149.89, jesuit volunteer community
61.216 -149.871, jesus holy temple
61.2253 -149.854, jesus is lord
61.2376 -149.888, jet technical svc
61.1472 -149.951, jewel lake bed & breakfast
61.1663 -149.948, jewel lake boarding kennels
61.1409 -149.951, jewel lake bowling pro shop
61.1393 -149.951, jewel lake dry cleaners
61.1201 -149.89, jewel lake masonry
61.1401 -149.951, jewel lake mongolian bar-b-que
61.1521 -149.951, jewel lake parish
61.1381 -149.952, jewel lake pizza & tea garden
61.1456 -149.952, jewel lake senior housing inc
61.1395 -149.945, jewel lake villa apartments
61.1938 -149.878, jewelry cache
61.2157 -149.821, jewelry n stuff
61.1915 -149.956, jewels accounting & bkpg svc
61.1955 -149.74, jewish education ctr
61.2105 -149.808, jiffy lube
61.181 -149.816, jiffy lube
61.1444 -149.886, jiffy lube
61.1366 -149.848, jill r friedman & assoc
61.2161 -149.876, jim brown construction
61.1921 -149.887, jim christie & assoc
61.1914 -149.897, jim dooley's athletic supply
61.1937 -149.943, jim gribbin enterprises
61.2031 -149.749, jim jose assoc
61.1571 -149.883, jim's electric
61.1489 -149.809, jim's electric
61.1745 -149.834, jim's enterprises
61.1537 -149.861, jim's equipment repair
61.2196 -149.835, jim's muffler & auto repair
70.6301 -155.698, border ventures
70.6301 -155.698, department wildlife management
71.3021 -156.759, s k w eskimos inc
70.6301 -155.698, pela construction
70.6301 -155.698, egasak electric enterprises
70.6301 -155.698, yazzie drywall
70.6301 -155.698, scotts superior painting
70.6301 -155.698, totem enteprises
70.6301 -155.698, northern lights electric
70.6301 -155.698, barrow mechanical inc
70.6301 -155.698, amagugaaq enterprises
60.9301 -161.163, ben dale
61.5841 -149.44, big lake marine sales & svc
60.9301 -161.163, bnc international inc
70.6301 -155.698, a e f
60.9301 -161.163, bethel trailer park
60.9301 -161.163, faulkner walsh constructor
70.6301 -155.698, uic
70.6301 -155.698, boynton printing inc
61.4119 -149.439, a r technical svc
61.3631 -149.515, a transmission exchange
61.4111 -149.45, a-1 welding
61.3901 -149.45, aardvark maid svc
61.4111 -149.45, access electrical & genl trade
61.3844 -149.481, adams guiding svc
61.4111 -149.45, advanced design
61.4121 -149.494, aeroworks of alaska inc
61.4111 -149.45, air bears ultralights
61.4157 -149.452, alaska aircraft cylinders inc
61.4111 -149.45, alaska carpentry
55.2541 -162.289, alaska dept of public safety
61.4081 -149.486, alaska equine & small animal
61.4111 -149.45, alaska forklift safety
61.8061 -157.936, alascom
64.5581 -149.096, alaska area exchange
64.5582 -149.095, anderson-clear lions club
61.8061 -157.936, asonink
63.3961 -148.943, atkins guiding & flying svc
59.2571 -135.552, stickler construction
59.2571 -135.552, strong enterprise
59.2571 -135.552, sudden enterprises
59.2376 -135.445, summer inn bed & breakfast
59.2571 -135.552, takshanuk mount trail
59.2571 -135.552, taxi 24-7
59.2361 -135.47, thirty-three mile roadhouse
59.2571 -135.552, thought system consulting
59.2571 -135.552, thrha-haines branch ofc
59.2368 -135.445, thunderbird motel
59.2355 -135.445, tlingit haida
59.2571 -135.552, top hat logging
59.2355 -135.446, townhouse apartments & rentals
59.2347 -135.446, travel connection
59.2351 -135.442, tsirku cannery co
59.2361 -135.47, turner construction co
59.2351 -135.446, uniquely alaskan arts
59.2571 -135.552, us army national guard
59.2361 -135.47, us customs svc
59.2571 -135.552, us federal aviation agency
59.4141 -135.93, us general svc adm
59.4141 -135.93, us immigration naturalization
59.2361 -135.446, video 144
59.2571 -135.552, wards wood products
59.2571 -135.552, warren & assoc
59.2571 -135.552, warren general store
59.2571 -135.552, weeping trout sports resort
59.2271 -135.438, whale rider gallery
59.2361 -135.47, whitermore furniture & cabinet
59.2571 -135.552, whiterock
59.2331 -135.446, windspirit inc
59.2571 -135.552, wings of alaska
59.2571 -135.552, wolverine ready mix inc
59.2571 -135.552, work of art drywall & constr
59.6459 -151.544, 2-2tango salon
59.6461 -151.509, a & l properties
59.6448 -151.532, a j's general hydraulic repair
59.6461 -151.509, a k enterprises
59.6461 -151.509, a m careerability consulting
59.6618 -151.56, a memorable experience b & b
70.1971 -151.01, a c value ctr
64.4979 -165.41, adult probation
64.4991 -165.4, alaska cab garage & svc
64.5411 -165.386, alaska commercial co
66.6651 -160.214, alaska court magistrate
64.4971 -165.41, alaska employment svc
64.5011 -165.401, alaska gold co
64.8761 -165.32, alaska gold machine shop
64.4972 -165.389, alaska housing finance corp
64.4991 -165.412, alaska legal svc corp
64.4941 -165.39, alaska nanuuq commission
64.4971 -165.403, an ocean view bed & breakfast
64.4971 -165.403, anchor liquor
64.4971 -165.409, anchor tavern
64.5471 -165.429, anvil city science academy
70.1971 -151.01, arctic catering
64.8761 -165.32, arctic native brotherhood club
64.4982 -165.41, arctic trading post
64.5451 -163.022, arctic transportation svc
70.2184 -151.002, assembly of god church
64.8761 -165.32, atkilak's hunting & fishing
64.8761 -165.32, audredge.com
64.4971 -165.41, aurora executive suites
64.8761 -165.32, baha'i faith
64.5451 -163.022, baker aviation
64.8761 -165.32, baker aviation reservations
64.8761 -165.32, bed & breakfast of nome
64.4991 -165.41, behavioral health svc
64.5451 -163.022, bering air inc
64.8761 -165.32, bering sea enterprises
64.8761 -165.32, bering sea lions club
64.5011 -165.407, bering sea women's group
64.8761 -165.32, bering strait comm partnership
64.4981 -165.398, bering straits housing auth
64.5011 -165.414, bering straits native corp
64.8761 -165.32, betty ann's beauty salon
64.8761 -165.32, betty's igloo bed & breakfast
64.4981 -165.407, bible baptist church
64.8761 -165.32, big jim's auto repair
64.4971 -165.41, board of trade
61.5825 -149.429, tryck nyman hayes inc
61.6141 -149.457, tts interiors
61.5817 -149.438, tub house & tanning
61.5822 -149.457, tub n tan
61.3981 -149.843, tug bar & liquor goose bay inn
61.6157 -149.675, tulakes design
61.5691 -149.327, tundra meats wild game process
61.5531 -149.651, tundra rose construction
61.6141 -149.457, tundra training & safety
61.5996 -149.421, turning point child care ctr
61.6141 -149.457, tuvela press
61.6141 -149.457, twin birch homes
61.5531 -149.651, twinkle toes
61.6141 -149.457, tws enterprises
61.5906 -149.45, u 2 technology
61.5811 -149.45, u build it
61.5743 -149.405, u s alaska development inc
61.5852 -149.334, u-haul co
61.5876 -149.632, u-haul co
61.5811 -149.45, u-haul co
61.5811 -149.45, u-haul co
61.5824 -149.632, u-pick mini doughnuts
61.6091 -149.77, underdog feeds
61.6141 -149.457, underwriters laboratories inc
61.5774 -149.596, unifloors
61.5512 -149.533, united methodist church
61.5801 -149.44, united rentals
61.5694 -149.448, united way
61.5698 -149.36, unity church of the valley
61.6104 -149.659, universal floor care
61.5743 -149.405, ups store
61.5824 -149.634, ups store
61.5911 -149.291, uresco construction materials
61.5766 -149.411, us army recruiting
61.6141 -149.457, us faa
61.184 -149.97, jimair
61.1553 -149.859, jimmie a johnson appraisal svc
61.1955 -149.893, jin bo co
61.1897 -149.898, jin's hair salon
61.2164 -149.896, jitters coffee stop
61.2193 -149.846, jkm general contractors
61.1955 -149.884, jkp real estate
61.1487 -149.957, jls partnership
61.1905 -149.879, jmj distr inc
61.1749 -149.881, jmr co/hobart sales & svc
61.128 -149.782, jns computer consulting
61.1891 -149.906, jo ann & monte
61.1541 -149.958, jo's housecleaning svc
61.1381 -149.914, jo-ann fabrics & crafts
61.2157 -149.821, jo-ann fabrics & crafts
61.2198 -149.902, joan m unger law office
61.2176 -149.773, joan's daycare
61.2161 -149.876, joan's edible treasures
61.1818 -149.885, job corps
61.2164 -149.882, job ready
61.1906 -149.874, job service
61.1811 -149.871, jobs with the state
61.2193 -149.896, jody brion law office
61.2193 -149.902, jody brion law office
61.1201 -149.89, joe alston cadd svc
61.1821 -149.934, joe d'entrone's guitar studio
61.1076 -149.841, joe's tool box inc
61.2158 -149.904, john a bernitz law office
61.2188 -149.896, john c pharr law offices
61.1133 -149.863, john crane inc
61.1835 -149.839, john d frost inc
61.22 -149.895, john e havelock law offices
61.1824 -149.817, john fogg janitorial
61.1101 -149.857, john glenn investigations
60.1561 -164.25, avcp chefornak head start
60.1561 -164.25, avugiak store
63.4041 -148.835, b & b equipment
63.3921 -148.949, backwoods lodge
61.8061 -157.936, bush-tell inc
63.3731 -148.976, cantwell community clinic
63.3221 -149.143, cantwell foodmart
63.3921 -148.949, cantwell native council
63.3921 -148.949, cantwell rv park
63.4041 -148.835, cantwell school
60.1561 -164.25, chaptnguak school
60.1561 -164.25, chefarnrmute inc
60.1561 -164.25, chefomak water & sewer project
60.1561 -164.25, chefornak city council
60.1561 -164.25, chefornak city council
60.1561 -164.25, chefornak clinic
60.1561 -164.25, chefornak office
60.1561 -164.25, chefornak traditional council
60.1561 -164.25, chefornak village police
60.1561 -164.25, chefornak water & sewer
60.1561 -164.25, chefornak water & sewer utlty
61.6351 -157.041, chuathbaluk high school
61.6351 -157.041, chuathbaluk public safety
61.6351 -157.041, chuathbaluk public safety ofcr
61.6351 -157.041, chuathbaluk traditional cncl
61.6351 -157.041, chuathbaluk village clinic
61.6351 -157.041, chuathbaluk water & sewer
61.6351 -157.041, city of chuathbaluk
61.8061 -157.936, ckd creek housing office
61.8061 -157.936, ckd water & sewer project
64.3471 -149.042, clear sky lodge
63.3931 -148.897, cli construction
61.8061 -157.936, crooked creek clinic
61.8061 -157.936, crooked creek trading council
61.6351 -157.041, crow village sam school
64.3471 -149.042, dale services
63.4041 -148.835, denali arctic cat
63.3731 -148.976, denali borough transfer
63.4041 -148.835, denali manor b & b
59.6644 -151.522, a room with a view b & b
59.6462 -151.525, a stitch above
59.6631 -151.465, aaa storage
59.6682 -151.445, aaa storage
59.6534 -151.544, ability surveys
59.6461 -151.509, absolute alaskan adventures
59.6455 -151.521, tammy ackerman cpa
59.6891 -151.457, acme carpet cleaning
59.6475 -151.526, acordia inc
59.6461 -151.509, act 1 svc
59.6461 -151.509, advanced home inspections
59.6396 -151.52, advanced propeller diving svc
59.6393 -151.508, adventure alaska car rental
59.6041 -151.428, adventures in homer
59.6393 -151.487, aeromarine
59.6379 -151.516, air liquide america corp
59.6767 -151.596, ak quality water conditioning
59.6461 -151.509, ak-wa marine inc
59.6461 -151.509, alaska adventure fishing chrtr
59.6461 -151.509, alaska adventures
59.6461 -151.509, alaska anglers
59.6671 -151.496, alaska arctic sun
59.6681 -151.488, alaska bible institute
59.6467 -151.526, alaska boats & permits inc
59.6448 -151.534, alaska by the sea/homer
59.6461 -151.509, alaska canoe base
59.6492 -151.551, alaska center-tradtnl chinese
59.6018 -151.421, alaska custom seafoods
59.6894 -151.39, alaska fantastic halibut fshng
59.6011 -151.412, alaska ferry adventures
59.6775 -151.635, alaska golden view cabin
59.7218 -151.293, alaska growers tree nursery
59.6431 -151.551, alaska housing finance corp
59.7177 -151.317, alaska hunting & fishing vntrs
59.6461 -151.509, alaska ice & cold storage
59.6661 -151.516, alaska industrial electric
64.8761 -165.32, board of trade office
64.5008 -165.408, bonanza express
64.8761 -165.32, bonanza fuel inc
64.8761 -165.32, boys & girls club nome
64.4971 -165.409, breakers bar
64.5011 -165.414, builders industrial supply
64.5451 -163.022, cape smythe air svc
70.1971 -151.01, cape smythe air svc
64.4971 -165.403, carrie mc lain museum
64.8761 -165.32, checker cab
64.8761 -165.32, chukotka-alaska inc
64.8761 -165.32, church of jesus christ of lds
64.8761 -165.32, church of the nazarene
66.8361 -161.04, city of noorvik
64.4991 -165.414, community services div
64.8761 -165.32, copier maintenance svc
64.5331 -165.414, corrections dept facility
64.4961 -165.387, corrections dept youth
64.4941 -165.388, country store
64.4941 -165.383, country store
64.8761 -165.32, court system
64.4991 -165.411, covenant church
64.497 -165.402, crazy bill's emporium
64.8761 -165.32, crowley marine svc
64.8761 -165.32, terry day
64.4971 -165.41, department of labor & job
64.4941 -165.39, dept of dev of communityand a
64.8761 -165.32, dickson's hanger
64.4961 -165.401, district attorney
64.8761 -165.32, eagle quality ctr
64.4981 -165.408, elections supervisor
64.4991 -165.401, emmons mechanical
64.8761 -165.32, eskimo heritage program
